gene1,gene2
ENSG00000011260,ENSG00000140945
ENSG00000011260,ENSG00000147437
ENSG00000011260,ENSG00000198728
ENSG00000011260,ENSG00000186862
ENSG00000011304,ENSG00000173269
ENSG00000011332,ENSG00000089053
ENSG00000011405,ENSG00000170037
ENSG00000011405,ENSG00000117153
ENSG00000011405,ENSG00000130876
ENSG00000011422,ENSG00000114019
ENSG00000011422,ENSG00000197079
ENSG00000011465,ENSG00000166136
ENSG00000011465,ENSG00000141522
ENSG00000011465,ENSG00000198833
ENSG00000011465,ENSG00000101336
ENSG00000011465,ENSG00000108349
ENSG00000011465,ENSG00000114019
ENSG00000011465,ENSG00000121410
ENSG00000011465,ENSG00000102349
ENSG00000011485,ENSG00000198963
ENSG00000011600,ENSG00000165409
ENSG00000011600,ENSG00000123095
ENSG00000012048,ENSG00000108771
ENSG00000012048,ENSG00000183579
ENSG00000012048,ENSG00000110448
ENSG00000012048,ENSG00000126870
ENSG00000012048,ENSG00000141646
ENSG00000012048,ENSG00000149557
ENSG00000012048,ENSG00000111087
ENSG00000012124,ENSG00000150672
ENSG00000012174,ENSG00000132394
ENSG00000012211,ENSG00000099203
ENSG00000012223,ENSG00000116031
ENSG00000012223,ENSG00000164816
ENSG00000012779,ENSG00000106689
ENSG00000012779,ENSG00000213221
ENSG00000012779,ENSG00000181222
ENSG00000012817,ENSG00000135336
ENSG00000013016,ENSG00000173085
ENSG00000013275,ENSG00000121351
ENSG00000013275,ENSG00000197043
ENSG00000013275,ENSG00000126777
ENSG00000013275,ENSG00000186642
ENSG00000013275,ENSG00000102158
ENSG00000013275,ENSG00000164597
ENSG00000013275,ENSG00000160688
ENSG00000013288,ENSG00000172315
ENSG00000013288,ENSG00000170270
ENSG00000013288,ENSG00000196976
ENSG00000013288,ENSG00000144034
ENSG00000013288,ENSG00000196449
ENSG00000013288,ENSG00000164035
ENSG00000013375,ENSG00000183018
ENSG00000013503,ENSG00000147065
ENSG00000013503,ENSG00000108010
ENSG00000013725,ENSG00000123095
ENSG00000013810,ENSG00000141646
ENSG00000014138,ENSG00000168710
ENSG00000014138,ENSG00000204928
ENSG00000014138,ENSG00000176058
ENSG00000014138,ENSG00000184260
ENSG00000014138,ENSG00000081853
ENSG00000014138,ENSG00000137710
ENSG00000014138,ENSG00000092820
ENSG00000014138,ENSG00000118965
ENSG00000014138,ENSG00000100142
ENSG00000014138,ENSG00000108771
ENSG00000015153,ENSG00000063438
ENSG00000015153,ENSG00000090104
ENSG00000015285,ENSG00000163029
ENSG00000015285,ENSG00000173482
ENSG00000015285,ENSG00000213218
ENSG00000015285,ENSG00000123095
ENSG00000015475,ENSG00000184207
ENSG00000015475,ENSG00000075651
ENSG00000015475,ENSG00000116147
ENSG00000015475,ENSG00000166741
ENSG00000015532,ENSG00000114388
ENSG00000016402,ENSG00000269897
ENSG00000017427,ENSG00000101336
ENSG00000017427,ENSG00000114019
ENSG00000017427,ENSG00000124383
ENSG00000017797,ENSG00000166391
ENSG00000018189,ENSG00000146070
ENSG00000018189,ENSG00000120885
ENSG00000018189,ENSG00000213398
ENSG00000018189,ENSG00000130203
ENSG00000018189,ENSG00000130208
ENSG00000018189,ENSG00000105852
ENSG00000018189,ENSG00000087237
ENSG00000018189,ENSG00000158874
ENSG00000018189,ENSG00000100342
ENSG00000018189,ENSG00000118137
ENSG00000018189,ENSG00000261701
ENSG00000018189,ENSG00000267467
ENSG00000018189,ENSG00000110245
ENSG00000018189,ENSG00000204444
ENSG00000018189,ENSG00000084674
ENSG00000018189,ENSG00000110244
ENSG00000018408,ENSG00000172380
ENSG00000018408,ENSG00000099203
ENSG00000018625,ENSG00000100413
ENSG00000018625,ENSG00000175324
ENSG00000019186,ENSG00000160014
ENSG00000019186,ENSG00000164867
ENSG00000019186,ENSG00000167965
ENSG00000019582,ENSG00000182768
